IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,LATITUDE
"47",PV79,453.057434082,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-20","150",solid,oui,"0","60",oui,-72.174831316115899,45.416208936554661
"48",PV80,400.583770752,Brompton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"25","300",solid,oui,"0","60",oui,-72.168822665008022,45.417829158437797
"49",PV81,379.998352051,Brompton,Point de vue,ouvert,SE,Yvan Guay,GPS,,"120","300",solid,oui,"160","-40",oui,-72.167698232698299,45.418172481172157
"51",S30,379.731658936,Monts Stoke,Toilettes,ouvert,SE,Gilles Turgeon,Estimé,,"-130","183",no,oui,"0","80",non,-71.676117908350903,45.590921476757195
"52",Grotte de l'Ours,523.502075195,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"150","-300",solid,oui,"400","-40",non,-71.714734485589261,45.552253176167895
"54",PV143,599.620605469,Monts Stoke,Point de vue,ouvert,SE,Sylvie L'Heureux,GPS,,"-200","-100",solid,oui,"180","-40",oui,-71.688867148044181,45.568910214769566
"55",PV144,613.579040527,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"350","350",solid,oui,"180","-40",oui,-71.677952850451817,45.572708372668842
"57",PV146,631.695678711,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"350","84",solid,oui,"180","-40",oui,-71.678099869033460,45.571944613651809
"58",PV147,644.844360352,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"350","-84",solid,oui,"180","-40",oui,-71.678544864272865,45.571602464364339
"60",PV139,530.155761719,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-240","-20",solid,oui,"0","60",oui,-71.714589146946594,45.552438787957485
"63",S31,232.224212646,Monts Stoke,Parking,ouvert,Mont-Élan,Gilles Turgeon,GPS,,"530","160",no,oui,"0","60",oui,-71.672728913118902,45.506377176088840
"65",PV136,525.645996094,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-300","20",solid,oui,"-180","-40",oui,-71.720566446178267,45.547687469691077
"66",PV153,475.079254150,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"150","400",solid,oui,"180","-40",oui,-71.705106277234606,45.539850222587191
"67",PV150,498.710876465,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"41","102",solid,oui,"180","-40",oui,-71.712566338695751,45.547043739527467
"68",PV152,497.366485596,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-250","-300",solid,oui,"-180","-40",oui,-71.707449186809257,45.541253353178185
"69",PV135,573.743469238,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"140","200",solid,oui,"0","60",oui,-71.720152380161579,45.546101110696739
"71",PV151,489.157897949,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"84","-21",solid,oui,"0","-160",oui,-71.712043475575882,45.546391627460686
"72",Ruisseau Ives,534.979125977,Glen,Camping rustique,ouvert,SE,Daniel Delorme,GPS,,"48","82",solid,oui,"0","80",non,-72.398542399999997,45.191412700000001
"73",La Tanière,217.644332886,Glen,Hébergement,ouvert,La tanière,Gilles Turgeon,Estimé,,"-41","-147",solid,oui,"0","80",non,-72.368867745262889,45.160008730203288
"74",S07,232.306304932,Glen,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"290","-160",no,oui,"0","60",oui,-72.385909907911980,45.161418123416794
"75",PV20,401.097595215,Glen,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"-45","-168",solid,oui,"0","-150",oui,-72.398415305607614,45.166990465428427
"76",PV21,421.101867676,Glen,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"-135","-98",solid,oui,"0","-150",oui,-72.413545041194354,45.167838476637122
"77",Camping des Sentiers,169.919067383,Kingsbury,Camping aménagé,ouvert,Arnold Giguère,Gilles Turgeon,Estimé,,"150","0",solid,oui,"0","80",non,-72.136749584137732,45.580684614764372
"78",S24,269.910064697,Kingsbury,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"-100","-100",solid,oui,"0","-150",oui,-72.176361651079660,45.473094026961810
"79",S25,161.078979492,Kingsbury,Parking,ouvert,SE,Gilles Turgeon,GPS,,"-250","-40",solid,oui,"-150","-40",oui,-72.138451928512495,45.586610681088963
"80",PV103,170.000000000,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"200","-200",solid,oui,"0","-150",oui,-72.138681173564237,45.567389300734924
"81",PV102,197.268493652,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-300","60",solid,oui,"-180","-40",oui,-72.146251666137431,45.561321131326920
"83",PV91,316.921844482,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-400","-500",solid,oui,"0","-150",oui,-72.175818213600834,45.476637640017003
"84",PV94,314.366180420,Kingsbury,Point de vue,ouvert,SE,Daniel Delorme,GPS,,"101","-83",solid,oui,"0","-150",oui,-72.179948699999997,45.491724900000001
"85",PV92,281.824920654,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-142","137",solid,oui,"-160","-40",oui,-72.178868088169196,45.478244111645438
"86",PV104,188.240112305,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-200","0",solid,oui,"-180","-40",oui,-72.140466666666669,45.572100000000006
"87",PV98,210.000000000,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"160","11",solid,oui,"160","-40",oui,-72.156644094976031,45.544129519432623
"89",PV93,328.443756104,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-93","23",solid,oui,"0","-150",oui,-72.174229305842900,45.489846999483056
"90",PV95,263.768035889,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,"-155","-100",solid,oui,"0","-150",oui,-72.167706633026398,45.511457416318137
"94",Ch. Fullerton,420.017395020,Mansonville,Parking,ouvert,RNMV,Jean-Marie Croteau,GPS,,"100","100",solid,oui,"0","60",oui,-72.437525048418451,45.081989547508691
"95",André-Gagnon,188.869247437,Mansonville,Parking,ouvert,Missiquoi-Nord,Michel Grenier,GPS,,"180","0",solid,oui,"0","60",oui,-72.391035000000002,45.058978000000003
"97",Lac Stukeley,310.276184082,Orford,Camping aménagé,ouvert,SÉPAQ,Gilles Turgeon,Estimé,,"-125","80",solid,oui,"0","80",non,-72.238025319426242,45.361678794668975
"98",Lac Fraser,270.112579346,Orford,Téléphone,ouvert,SÉPAQ,Gilles Turgeon,Estimé,,"230","100",no,oui,"0","80",non,-72.172863309169756,45.379110432429734
"99",Le Vallonnier,318.948425293,Orford,Camping rustique,ouvert,SÉPAQ,Gilles Turgeon,GPS,,"113","55",solid,oui,"0","80",non,-72.212676447128601,45.357370407019559
"103",S20,309.968688965,Orford,Parking,ouvert,SE,Gilles Turgeon,GPS,,"-143","11",solid,oui,"0","-150",oui,-72.197439069171253,45.387423553204705
"104",S17,369.490966797,Orford,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"10","100",solid,oui,"0","60",oui,-72.221414876016013,45.318192234323384
"105",S18 (été),312.550811768,Orford,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"-395","40",solid,oui,"0","60",oui,-72.239046024333959,45.358252573237024
"106",S19,265.922912598,Orford,Parking,ouvert,SE,Gilles Turgeon,Estimé,,"300","60",solid,oui,"0","60",oui,-72.195897529554586,45.329638039906065
"107",PV67,562.600952148,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"4","-172",solid,oui,"0","-150",oui,-72.208834196833990,45.369221674076073
"108",PV50,781.577331543,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"160","360",solid,oui,"160","-40",oui,-72.242431197560819,45.314360347273080
"109",PV48,823.627502441,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"250","80",solid,oui,"160","-40",oui,-72.239234172052946,45.312787315504792
"110",PV46,832.384826660,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"178","-199",solid,oui,"160","-40",oui,-72.239706324658627,45.312248359130827
"111",PV49,820.397033691,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"45","159",solid,oui,"160","-40",oui,-72.240158695972809,45.313255277158881
"112",PV73,429.175170898,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"150","-150",solid,oui,"0","-150",oui,-72.194619061668064,45.378386101385622
"113",PV65,589.976806641,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-122","-77",solid,oui,"0","60",oui,-72.211344059800368,45.369833542665042
"114",PV62,409.585876465,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-250","60",solid,oui,"-160","-40",oui,-72.214489620422768,45.367781485130472
"115",PV59,637.486450195,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-20","400",solid,oui,"0","60",oui,-72.246761791653654,45.341414113227152
"116",PV154,303.775390625,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"-200","-100",solid,oui,"0","-150",oui,-72.196335423980585,45.333864030125945
"117",PV52,695.283996582,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,"28","-250",solid,oui,"0","-150",oui,-72.246593985952160,45.327879351261132
