IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,latitude
140,Le Vieux camp,278.359314,Orford,Refuge,ouvert,SÉPAQ,Gilles Turgeon,GPS,,-146,-84,solid,oui,0,80,non,-72.1986605,45.33666694
141,Carrefour du Ruisseau Perdu,328.2117004,Orford,Piquenique,ouvert,SÉPAQ,Gilles Turgeon,GPS,,122,-51,solid,oui,0,80,non,-72.2133201,45.35978104
142,Le Ponceau,319.7327271,Orford,Piquenique,ouvert,SÉPAQ,Gilles Turgeon,Estimé,,-5,84,solid,oui,0,80,non,-72.232215,45.350924
143,S27 (été),121.1240921,Richmond,Parking,ouvert,SE,Gilles Turgeon,GPS,,150,0,solid,oui,0,80,oui,-72.1260664,45.63404504
144,S28,120,Richmond,Parking,ouvert,SE,Gilles Turgeon,Estimé,,-167,83,solid,oui,0,60,oui,-72.1418208,45.6583128
146,S35 (été),129.0360565,Richmond,Parking,ouvert,SE,Jean-Marie Croteau,Estimé,,-20,-200,solid,oui,0,-250,oui,-72.1359,45.64011667
148,PV115,180.7879486,Richmond,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-500,23,solid,oui,-180,-40,oui,-72.1363873,45.58799872
149,PV116,194.7766571,Richmond,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-500,-50,solid,oui,-180,-40,oui,-72.1364365,45.59251297
151,PV120,140,Richmond,Point de vue,ouvert,SE,Daniel Delorme,GPS,,-300,50,solid,oui,-180,-40,oui,-72.1362315,45.6133657
152,PV119,140.4768677,Richmond,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-400,30,solid,oui,-180,-40,oui,-72.1332505,45.61207742
153,PV118,140,Richmond,Point de vue,ouvert,SE,Daniel Delorme,GPS,,-300,-40,solid,oui,-180,-40,oui,-72.1352644,45.610344
154,aire de repos,149.9319305,Richmond,Piquenique,ouvert,MTQ,Gilles Turgeon,GPS,,-37,-132,solid,oui,0,80,non,-72.1288043,45.6287373
158,PV130,431.6250305,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-40,-220,solid,oui,180,-40,oui,-71.7364924,45.53661447
161,PV129,461.982666,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,140,50,solid,oui,180,-40,oui,-71.7412179,45.53278889
162,PV132,570.0548096,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-114,-24,solid,oui,-180,-40,oui,-71.7266274,45.5383327
163,PV134,565.5960693,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-390,-100,solid,oui,-180,-40,oui,-71.7216742,45.54501071
167,S01,158.5460205,Sutton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,25,162,solid,oui,0,60,oui,-72.5720335,45.02944185
168,S03,525.3343506,Sutton,Parking,ouvert,SE,Gilles Turgeon,Estimé,,-73,100,solid,oui,0,60,oui,-72.5512492,45.09736593
170,S02,400.6324463,Sutton,Téléphone,ouvert,SE,Yvan Guay,GPS,,-170,120,no,oui,0,80,non,-72.5609778,45.1045826
172,PV5,758.6622314,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,140,-18,solid,oui,0,-150,oui,-72.5581557,45.08011482
173,PV6,928.2424316,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,-49,-181,solid,oui,0,-150,oui,-72.5453201,45.08089417
174,PV2,540.1517334,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,108,-55,solid,oui,140,-40,oui,-72.5864499,45.04645033
175,PV3,560.5953979,Sutton,Point de vue,ouvert,SE,Yvan Guay,GPS,,86,-129,solid,oui,140,-40,oui,-72.5837528,45.04876851
176,PV1,503.2294617,Sutton,Point de vue,ouvert,SE,Gaétan Savard,GPS,,118,-80,solid,oui,140,-40,oui,-72.5868341,45.04452874
177,PV8,870.211853,Sutton,Point de vue,ouvert,SE,Jonathan Dupont,GPS,,-18,-98,solid,oui,0,-150,oui,-72.5391619,45.08121955
179,S33,129.3274841,Windsor,Téléphone,ouvert,SE,,GPS,,210,270,no,oui,0,80,non,-72.0106691,45.56657592
180,S34,130,Windsor,Piquenique,ouvert,SE,,GPS,,-20,150,no,oui,0,80,non,-72.0771443,45.60991212
181,PV121,120.0001297,Windsor,Piquenique,ouvert,SE,,GPS,,0,80,solid,oui,0,80,non,-72.0900995,45.61370225
182,Camping Singer,466.2305603,Écho,Camping rustique,ouvert,SE,Yvan Guay,GPS,,-27,101,solid,oui,0,80,non,-72.4742462,45.12626156
183,Westfield,331.888031,Écho,Camping rustique,ouvert,SE,Marcel Grenier,GPS,,11,-113,solid,oui,0,80,non,-72.4070833,45.15597166
184,S05,316.9193726,Écho,Parking,ouvert,SE,Jonathan Dupont,GPS,,-114,-28,solid,oui,0,60,oui,-72.5055787,45.1262929
185,S06,233.1525879,Écho,Parking,ouvert,SE,Yvan Guay,GPS,,-200,300,solid,oui,0,60,oui,-72.3950672,45.15793281
186,PV19,542.2896118,Écho,Point de vue,ouvert,SE,Jean-Marie Croteau,GPS,,143,93,solid,oui,160,-40,oui,-72.4213013,45.1570037
187,PV15,452.9835815,Écho,Point de vue,ouvert,SE,Yvan Guay,GPS,,300,300,solid,oui,160,-40,oui,-72.4738781,45.1244255
188,PV12,336.3218994,Écho,Point de vue,ouvert,SE,Yvan Guay,GPS,,140,200,solid,oui,160,-40,oui,-72.4973679,45.1256258
189,PV18,609.7158813,Écho,Point de vue,ouvert,SE,Yvan Guay,GPS,,-179,-15,solid,oui,-160,-40,oui,-72.4363595,45.15139886
190,PV17,630.3591919,Écho,Point de vue,ouvert,SE,Yvan Guay,GPS,,-175,96,solid,oui,-160,-40,oui,-72.4384561,45.14935169
191,PV13,443.0672607,Écho,Point de vue,ouvert,SE,Yvan Guay,GPS,,-140,-130,solid,oui,0,-150,oui,-72.4814049,45.11816816
192,PV16,729.1846924,Écho,Point de vue,ouvert,SE,Yvan Guay,GPS,,17,-127,solid,oui,0,-150,oui,-72.4652071,45.13173804
193,PV9,758.571167,Écho,Point de vue,ouvert,SE,Jonathan Dupont,GPS,,-228,15,solid,oui,-140,-40,oui,-72.4904863,45.10794131
194,PV10,728.3724365,Écho,Point de vue,ouvert,SE,Jonathan Dupont,GPS,,320,-200,solid,oui,160,-40,oui,-72.4878679,45.10836502
