IDSERVICE,NOM,ALTITUDE,ZONE,TYPE,ETAT,GESTION,OPERATEUR,METHODE,COMMENT,OFFX,OFFY,LIGNE_VIS,ICONE_VIS,OFFX_TEX,OFFY_TEX,VIS_TEX,longitude,latitude
196,PV61,412.8869629,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20111023,-250,-20,solid,oui,-160,-40,oui,-72.2114416,45.36362615
197,PV63,578.7974243,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20111023,150,150,solid,oui,0,60,oui,-72.2088924,45.37171545
202,PV22,517.2754517,Glen,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,30,-120,solid,oui,160,-40,oui,-72.4124121,45.17132953
203,PV23,637.9625244,Glen,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,-163,60,solid,oui,-160,-40,oui,-72.4030737,45.19078228
204,S36,389.9167786,Monts Stoke,Parking,ouvert,SE,Gilles Turgeon,GPS,,11,140,solid,oui,0,60,oui,-71.7386584,45.53690138
207,PV101,188.4040222,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,Estimé,,200,-400,solid,oui,180,-40,oui,-72.1500772,45.55488968
50,S29,318.9198608,Monts Stoke,Parking,ouvert,SE,Gilles Turgeon,GPS,,99,112,solid,oui,0,60,oui,-71.7429962,45.55685043
209,PV64,588.4624634,Orford,Point de vue,ouvert,SÉPAQ,Gilles Turgeon,GPS,,160,9,solid,oui,0,60,oui,-72.2097349,45.37032103
210,PV141,546.163269,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20120903,260,85,solid,oui,180,-40,oui,-71.702068,45.562832
211,PV140,521.7565308,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20120903,280,-160,solid,oui,180,-40,oui,-71.714288,45.552194
212,PV36,482.8683167,Bolton,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,176,161,solid,oui,160,-40,oui,-72.2774986,45.27788767
213,PV133,539.2404785,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20120923,-30,198,solid,oui,180,-40,oui,-71.7232177,45.53876944
214,Point d'eau,254.8260498,Bolton,Point d'eau,ouvert,SE,Jean-Marie Croteau,GPS,Point d'eau,47,-159,solid,oui,0,80,non,-72.3285522,45.27840042
215,PV117,140,Richmond,Point de vue,ouvert,SE,Gilles Turgeon,GPS Oregon 450,,-172,60,solid,oui,-180,-40,oui,-72.139214,45.604798
218,PV4,650.0519409,Sutton,Point de vue,ouvert,SE,Jean Lacasse,GPS,,127,194,solid,oui,140,-40,oui,-72.5650482,45.07339478
219,PV33,600.9707031,Bolton,Point de vue,ouvert,SE,Michel Bousquet,GPS,"PV km 22,8 Bolton",160,-400,solid,oui,0,-150,oui,-72.277718,45.27196401
222,S38 (été),238.5110931,Monts Stoke,Parking,ouvert,SE,Gilles Turgeon,Estimé,,189,192,solid,oui,0,60,oui,-71.7997731,45.53002548
225,S42,241.0100098,Sherbrooke,Parking,ouvert,Sherbrooke,Gilles Turgeon,GPS 60CSx antenne,20130110,0,300,solid,oui,0,60,oui,-71.8925712,45.43035222
226,PV124,215.7759399,Sherbrooke,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20130110,-250,-50,solid,oui,-180,-40,oui,-71.8965506,45.42709711
227,PV123,213.7658234,Sherbrooke,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20130110,-200,-70,solid,oui,-180,-40,oui,-71.8966481,45.42612816
229,S40,148.4147186,Sherbrooke,Parking,ouvert,Sherbrooke,Gilles Turgeon,GPS 60CSx antenne,20130110,-55,317,solid,oui,0,60,oui,-71.9003427,45.41535968
230,S41 (été),235.8996124,Sherbrooke,Parking,ouvert,Sherbrooke,Gilles Turgeon,GPS 60CSx antenne,20130110,60,340,solid,oui,0,80,oui,-71.8961881,45.42990471
232,PV70,452.2504883,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,400,60,solid,oui,160,-40,oui,-72.1952912,45.37948455
231,PV69,467.5368958,Orford,Point de vue,ouvert,SE,Gilles Turgeon,GPS,,-66,200,solid,oui,0,60,oui,-72.1963125,45.37999383
233,PV137,455.4524536,Monts Stoke,Point de vue,ouvert,SE,Gilles Turgeon,GPS,20130824,0,225,solid,oui,-180,-40,oui,-71.7217361,45.55006017
236,S43,309.0895996,Bolton,Parking,ouvert,SE,Jean-Marie Croteau,inconnue,20130927,73,183,solid,oui,0,60,oui,-72.2603988,45.28681564
238,PV99,201.6246948,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,300,-300,solid,oui,160,-40,oui,-72.1542053,45.54977036
237,PV100,200.5181732,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,300,-100,solid,oui,180,-40,oui,-72.1538162,45.55043411
247,PV105,161,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,300,-300,solid,oui,180,-40,oui,-72.1360933,45.58384284
246,PV114,161.3873138,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,-40,-60,solid,non,0,80,non,-72.1367569,45.58625793
245,PV113,161.3534393,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,-20,-60,solid,non,0,80,non,-72.1357955,45.58512497
244,PV112,161.1105499,Kingsbury,Point de vue,ouvert,SE,Gilles Turgeon,GPS 60 CSx antenne,20131016,-20,-60,solid,non,0,80,non,-72.1344375,45.58459091
